Acanthiza pusilla
Acanthorhynchus tenuirostris
Acridotheres tristis
Acris blanchardi
Acrocephalus arundinaceus
Acrocephalus australis
Acrocephalus dumetorum
Acrocephalus orientalis
Acrocephalus palustris
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Adelotus brevis
Aegithalos caudatus
Aegithina tiphia
Agelaioides badius
Agelaius phoeniceus
Ailuroedus crassirostris
Alauda arvensis
Aleeta curvicosta
Alisterus scapularis
Alopochen aegyptiaca
Amaurornis phoenicurus
Amazona aestiva
Amietia delalandii
Amietia fuscigula
Anas platyrhynchos
Anas platyrhynchos domesticus
Anaxyrus americanus
Andropadus importunus
Anser anser domesticus
Anthobaphes violacea
Anthochaera carunculata
Anthochaera chrysoptera
Anthornis melanura
Anthus trivialis
Antigone canadensis
Antrostomus carolinensis
Antrostomus rufus
Antrostomus vociferus
Apalis thoracica
Apus apus
Aramides cajaneus
Aramides saracura
Aramides ypecaha
Arthroleptella lightfooti
Arthroleptella villiersi
Arthroleptis wahlbergii
Asio clamator
Asio otus
Athene cunicularia
Athene noctua
Atrapsalta corticina
Baeolophus bicolor
Bambusicola sonorivox
Basileuterus culicivorus
Batis capensis
Boana pulchella
Bombina bombina
Bos taurus
Bostrychia hagedash
Bradypterus baboecala
Bradypterus sylvaticus
Branta canadensis
Breviceps gibbosus
Breviceps montanus
Breviceps rosei
Brotogeris chiriri
Brotogeris tirica
Bubo africanus
Bubo virginianus
Burhinus capensis
Buteo buteo
Buteo lineatus
Cacatua galerita
Cacatua sanguinea
Cacicus haemorrhous
Cacomantis flabelliformis
Cacomantis merulinus
Cacosternum aggestum
Cacosternum australis
Cacosternum boettgeri
Cacosternum nanum
Cacosternum platys
Caligavis chrysops
Callocephalon fimbriatum
Callosciurus erythraeus
Calyptorhynchus banksii
Calyptorhynchus lathami
Camaroptera brachyura
Camptostoma obsoletum
Canis latrans
Canis lupus familiaris
Capra hircus
Caprimulgus affinis
Caprimulgus europaeus
Caprimulgus macrurus
Caprimulgus pectoralis
Cardinalis cardinalis
Carduelis carduelis
Carpodacus erythrinus
Catharus fuscescens
Catharus guttatus
Catharus ustulatus
Centropus burchellii
Centropus sinensis
Cercotrichas leucophrys
Certhia brachydactyla
Certhia familiaris
Cettia cetti
Chalcites lucidus
Charadrius vociferus
Chiroxiphia caudata
Chloris chloris
Chlorophoneus olivaceus
Chlorophoneus sulfureopectus
Chordeiles minor
Chrysococcyx caprius
